run,image_id,device,num_nodes,raw_payload_bytes,serialized_raw_bytes,legacy_payload_bytes,rss_peak_bytes,available_min_bytes,mps_active_max_stage_end_bytes,mps_driver_max_stage_end_bytes,read_and_decode_s,input_and_mask_conversion_s,tree_construction_s,tree_tensors_s,attribute_extraction_s,statistics_update_s,normalization_s,legacy_cpu_preparation_total_s,serialize_raw_to_ssd_s,read_raw_from_ssd_warm_mmap_s,linear_transfer_payload_s,linear_forward_s,linear_segmentation_loss_s,linear_backward_s,mlp_transfer_payload_s,mlp_forward_s,mlp_segmentation_loss_s,mlp_backward_s,preparation_rss_peak_bytes,swap_start_bytes,swap_end_bytes
cpu_0000,0,cpu,699690,267520272,267538593,443842152,1589624832,2819227648,0,0,0.1240938330302015,0.027826375095173717,0.976389667019248,0.09085458400659263,20.38477603974752,0.06798879115376621,0.15063483687117696,21.864946666988544,0.3681413329904899,0.03630775003693998,0,0.1041588339721784,0.0633059999672696,0.11767429194878787,0.00029216695111244917,0.1192226669518277,0.05139266699552536,0.12272691703401506,1369325568,12349603840,12324438016
cpu_1000,1000,cpu,627731,246220408,246240481,404408620,1513472000,3119349760,0,0,0.058209125068970025,0.0147481249878183,0.7755490830168128,0.07714916602708399,18.833627170766704,0.06465182942338288,0.1293034921400249,20.057922000065446,0.32548408408183604,0.035886417026631534,0,0.08710387500468642,0.05501950008329004,0.1303365839412436,0.0003760838881134987,0.12381816597189754,0.05494983296375722,0.13020120793953538,1345552384,12316049408,12316049408
cpu_2040,2040,cpu,601906,238576208,238596577,390256520,1552859136,3183132672,0,0,0.055229166988283396,0.013351665926165879,0.7048154170624912,0.0717650840524584,19.162899003946222,0.0583745795302093,0.11563312367070466,20.28347541601397,0.3459385830210522,0.031910208985209465,0,0.0841867090202868,0.05604312499053776,0.11858087498694658,0.0003257080679759383,0.10737658303696662,0.05079254205338657,0.11939883301965892,1306738688,12316049408,12316049408
mps_0000,0,mps,699690,267520272,267538593,443842152,1331855360,2296315904,920024832,1179451392,0.05365762498695403,0.010561082977801561,0.8202272499911487,0.10520937491673976,19.005457835737616,0.068176414584741,0.14262874028645456,20.315176208037883,0.3323959580156952,0.03507387498393655,0.2225479589542374,0.0932079169433564,0.5197057080222294,0.3756888339994475,0.19055979198310524,0.07293029106222093,0.012614541919901967,0.15881599998101592,1331855360,12316049408,12331909120
